Class,Days & times
Adult Gym,Wednesday: 8.30-10.00
Advanced,Wednesday: 4.30-6.30pm; Friday: 6.30-8.30pm; Saturday: 12.00-2.00pm
Beginners,"Monday: 5.30-6.30pm; Tuesday: 4.00-5.00pm; Wednesday: 4.00-5.00pm; Thursday: 4.00-5.00pm, 5.00-6.00pm; Friday: 4.00-5.00pm; Saturday: 10.00-11.00am, 8.00-9.00am, 9.00-10.00am"
Beginners & pre dev,Saturday: 11.00-12.00pm
Boys Rec,Thursday: 4.00-7.30pm
Bronze,Tuesday: 5.00-7.00pm
CD 1,Tuesday: 4.00 - 6.00pm; Saturday: 2.00-4.00pm
CD 2,Saturday: 12.00-2.00pm
Club Girls,Monday: 6.30-8.30pm; Wednesday: 6.30-8.30pm; Saturday: 2.00-4.00pm
Early Advanced,Saturday: 10.00-12.00pm
Elite,Thursday: 6.00-8.00pm
Elite Girls,Monday: 6.30-8.30pm; Saturday: 4.00-7.00pm
Gold,Tuesday: 6.00-8.00pm; Saturday: 2.00-4.00pm
Grades,Monday: 6.30-8.30pm; Thursday: 6.00-8.30pm; Sunday: 3.00-7.00pm
Gym Tots,"Tuesday: 10.30 - 11.15am, 9.00-10.15am; Friday: 10.30 - 11.15am, 9.00-10.15am"
Intermediate,"Monday: 4.00-5.30pm; Wednesday: 5.00-6.30pm; Thursday: 4.00-5.30pm; Friday: 5.00-6.30pm; Saturday: 10.00-11.30am, 11.30-1.00pm"
Lilleshall,Monday: 6.00 -9.00pm
Mini Elite,Tuesday: 5.30-8.00 pm; Saturday: 2.00 - 4.30pm
Mini Grades,Tuesday: 5.00-8.30 pm; Sunday: 3.00-7.00pm
ND 1 + 2,Wednesday: 4.00-8.30pm; Saturday: 2.00 - 8.00pm
ND 2,Thursday: 4.00 - 9.00pm
ND 3,Tuesday: 4.00 - 8.30pm; Wednesday: 4.00 - 6.30pm
ND3,Sunday: 11.30 - 4.30pm
NDS,"Monday: 1.00-4.00pm, 4.00-7.00pm; Tuesday: 5.00-8.00pm; Wednesday: 1.00-4.00pm, 4.00-8.30pm, 5.00-7.30pm; Thursday: 1.00-4.00pm, 4.00-6.30pm; Friday: 4.00-8.30pm; Sunday: 12.45 - 6pm, 9.00-3.00pm"
Pre development,Tuesday: 4.00-5.00pm
Pre-School,"Monday: 4.00-5.00pm; Tuesday: 12.30-1.30pm; Friday: 1.30-2.30pm, 12.30-1.30pm; Saturday: 8.00-9.00am, 9.00-10.00am"
Pre-School with Parents,Tuesday: 11.30 - 12.15pm
Pre-school with parents,Friday: 11.30 - 12.15pm
RD 2,Wednesday: 6.30 - 8.30pm; Sunday: 3.00-7.00pm
RD 3,Tuesday: 6.00 - 8.00pm; Sunday: 4.00 - 7.00pm
Silver,Tuesday: 5.00-7.00pm; Saturday: 12.00-2.00pm
TG Dev,Saturday: 4.00 - 5.00pm
Team Gym,Wednesday: 5.30-8.30pm; Saturday: 5.00-8.00pm
Young Girls,Saturday: 2.00-4.00pm
Young girls,Tuesday: 6.00 - 8.00pm
