Class,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Adult Gym,nan,nan,8.30-10.00,nan,nan,nan,nan
Advanced,nan,nan,4.30-6.30pm,nan,6.30-8.30pm,12.00-2.00pm,nan
Beginners,5.30-6.30pm,4.00-5.00pm,4.00-5.00pm,"4.00-5.00pm, 5.00-6.00pm",4.00-5.00pm,"10.00-11.00am, 8.00-9.00am, 9.00-10.00am",nan
Beginners & pre dev,nan,nan,nan,nan,nan,11.00-12.00pm,nan
Boys Rec,nan,nan,nan,4.00-7.30pm,nan,nan,nan
Bronze,nan,5.00-7.00pm,nan,nan,nan,nan,nan
CD 1,nan,4.00 - 6.00pm,nan,nan,nan,2.00-4.00pm,nan
CD 2,nan,nan,nan,nan,nan,12.00-2.00pm,nan
Club Girls,6.30-8.30pm,nan,6.30-8.30pm,nan,nan,2.00-4.00pm,nan
Early Advanced,nan,nan,nan,nan,nan,10.00-12.00pm,nan
Elite,nan,nan,nan,6.00-8.00pm,nan,nan,nan
Elite Girls,6.30-8.30pm,nan,nan,nan,nan,4.00-7.00pm,nan
Gold,nan,6.00-8.00pm,nan,nan,nan,2.00-4.00pm,nan
Grades,6.30-8.30pm,nan,nan,6.00-8.30pm,nan,nan,3.00-7.00pm
Gym Tots,nan,"10.30 - 11.15am, 9.00-10.15am",nan,nan,"10.30 - 11.15am, 9.00-10.15am",nan,nan
Intermediate,4.00-5.30pm,nan,5.00-6.30pm,4.00-5.30pm,5.00-6.30pm,"10.00-11.30am, 11.30-1.00pm",nan
Lilleshall,6.00 -9.00pm,nan,nan,nan,nan,nan,nan
Mini Elite,nan,5.30-8.00 pm,nan,nan,nan,2.00 - 4.30pm,nan
Mini Grades,nan,5.00-8.30 pm,nan,nan,nan,nan,3.00-7.00pm
ND 1 + 2,nan,nan,4.00-8.30pm,nan,nan,2.00 - 8.00pm,nan
ND 2,nan,nan,nan,4.00 - 9.00pm,nan,nan,nan
ND 3,nan,4.00 - 8.30pm,4.00 - 6.30pm,nan,nan,nan,nan
ND3,nan,nan,nan,nan,nan,nan,11.30 - 4.30pm
NDS,"1.00-4.00pm, 4.00-7.00pm",5.00-8.00pm,"1.00-4.00pm, 4.00-8.30pm, 5.00-7.30pm","1.00-4.00pm, 4.00-6.30pm",4.00-8.30pm,nan,"12.45 - 6pm, 9.00-3.00pm"
Pre development,nan,4.00-5.00pm,nan,nan,nan,nan,nan
Pre-School,4.00-5.00pm,12.30-1.30pm,nan,nan,"1.30-2.30pm, 12.30-1.30pm","8.00-9.00am, 9.00-10.00am",nan
Pre-School with Parents,nan,11.30 - 12.15pm,nan,nan,nan,nan,nan
Pre-school with parents,nan,nan,nan,nan,11.30 - 12.15pm,nan,nan
RD 2,nan,nan,6.30 - 8.30pm,nan,nan,nan,3.00-7.00pm
RD 3,nan,6.00 - 8.00pm,nan,nan,nan,nan,4.00 - 7.00pm
Silver,nan,5.00-7.00pm,nan,nan,nan,12.00-2.00pm,nan
TG Dev,nan,nan,nan,nan,nan,4.00 - 5.00pm,nan
Team Gym,nan,nan,5.30-8.30pm,nan,nan,5.00-8.00pm,nan
Young Girls,nan,nan,nan,nan,nan,2.00-4.00pm,nan
Young girls,nan,6.00 - 8.00pm,nan,nan,nan,nan,nan
